#x_pos #P_tot_x #P_tot_y #P_tot_z #P_v2_x #P_v2_y #P_v2_z #P_obs_par_x #P_obs_par_y #P_obs_par_z #P_par_par_x #P_par_par_y #P_par_par_z #P_par_v2_x #P_par_v2_y #P_par_v2_z 
-7.250000000000000000e+01 1.571122427866423621e+01 1.052219277307931122e+01 8.719138699032415118e+00 1.370104785667412894e+00 1.347000799463673459e+00 1.349769890941024286e+00 -4.461193120045582594e-05 -2.119336952598500838e-05 -4.372716883571767417e-05 1.910409240491698149e-02 1.287286487748714840e-02 6.091202072518164638e-03 1.389208878072329512e+00 1.359873664341160415e+00 1.355861093013542407e+00
-7.000000000000000000e+01 1.570174336896751655e+01 1.040958634419515683e+01 8.794436290149736379e+00 1.387484616486047484e+00 1.358589332770680391e+00 1.365890266617074689e+00 -2.547717375643965317e-05 -1.535743717831578796e-05 -4.509938140431162302e-06 1.647973950743152061e-02 1.141730910466602633e-02 8.598018127685614492e-03 1.403964355993479352e+00 1.370006641875347153e+00 1.374488284744759703e+00
-6.750000000000000000e+01 1.559585363516997170e+01 1.046464858590835334e+01 8.994868216777790693e+00 1.405011374374825817e+00 1.381663584840717052e+00 1.388129193235712266e+00 -9.786018117404329862e-06 -8.084095106040089284e-06 -4.060279028946484416e-06 1.523742243946136533e-02 1.080613217405590985e-02 1.095031085659943504e-02 1.420248796814287395e+00 1.392469717014772845e+00 1.399079504092311854e+00
-6.500000000000000000e+01 1.570289324299488065e+01 1.053388089825259577e+01 9.123932556996779297e+00 1.425978811542242930e+00 1.409463825180897967e+00 1.404778387148616803e+00 8.965824453937757234e-05 2.000521576863369848e-04 4.529261731488061585e-05 1.903488423775052604e-02 1.102207098584806998e-02 1.626455280531066000e-02 1.445013695779993279e+00 1.420485896166746143e+00 1.421042939953927720e+00
-6.250000000000000000e+01 1.566889097450745183e+01 1.057343373956226351e+01 9.161461718397919896e+00 1.451471578003526330e+00 1.434740653280711431e+00 1.432790542757751195e+00 -7.141017257256764114e-05 -4.097187770336665596e-05 -2.963014038259549426e-05 2.722574379844067138e-02 1.296325143928247527e-02 1.536153533886516070e-02 1.478697321801967002e+00 1.447703904719994661e+00 1.448152078096616391e+00
-6.000000000000000000e+01 1.560231148318896643e+01 1.048781904004606247e+01 9.223714857892991503e+00 1.474927778519434574e+00 1.460741142600658904e+00 1.460356849727447504e+00 -3.356390670648768618e-05 -1.897613961953389009e-05 -2.567135070022881480e-05 1.559044414519055420e-02 8.403145831703312876e-03 8.144241594339329468e-03 1.490518222664625192e+00 1.469144288432362888e+00 1.468501091321786856e+00
-5.750000000000000000e+01 1.567239712609104885e+01 1.059603298426598528e+01 9.582575617365005627e+00 1.504393724820168865e+00 1.487411564331371672e+00 1.482717914761051414e+00 -3.831276124225157554e-05 -2.115192659786793741e-05 -2.780085070307040419e-05 2.083677416466941934e-02 7.653492482826299362e-03 1.047944992040761476e-02 1.525230498984839089e+00 1.495065056814198101e+00 1.493197364681458694e+00
-5.500000000000000000e+01 1.580439407308712063e+01 1.068680094024081839e+01 9.557607830557348194e+00 1.534035166068855816e+00 1.519584867305126430e+00 1.512818581147651775e+00 -4.817941625255617365e-05 -2.456292011004799735e-05 -3.203315226139152714e-05 1.385510087630694234e-02 1.024706213908428871e-02 6.656556138000663085e-03 1.547890266945162185e+00 1.529831929444210870e+00 1.519475137285652089e+00
-5.250000000000000000e+01 1.571996507645767061e+01 1.072453802387913768e+01 9.692801075232857499e+00 1.557946539153711507e+00 1.548038246951358055e+00 1.544778279938415100e+00 -6.170216787290629026e-05 -4.950059903580144227e-05 -7.918243735439461819e-05 1.769885371724048972e-02 9.114178989959030239e-03 1.080848731610906978e-02 1.575645392870952621e+00 1.557152425941317198e+00 1.555586767254524716e+00
-5.000000000000000000e+01 1.554556415853542539e+01 1.042019025073782856e+01 9.577815699078588096e+00 1.588668301637374602e+00 1.570969316672844895e+00 1.573937131692551672e+00 5.550778611855585864e-04 1.561808792445175376e-04 5.049369450398061678e-04 1.775413369237889907e-02 8.519013174099475047e-03 1.036188463229129574e-02 1.606422435329753595e+00 1.579488329846943984e+00 1.584299016324842713e+00
